Side,Order Ref. Number,Price,Volume
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
S,275993,2903400,30
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,275997,2903900,30
B,268557,2880000,150
B,234277,2901000,1000
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
S,275993,2903400,30
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,275997,2903900,30
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
S,275993,2903400,30
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,275997,2903900,30
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,294837,2904500,30
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,295161,2903900,30
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,295733,2903800,30
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,295733,2903800,30
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
S,297889,2903400,30
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
S,297889,2903400,30
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,297893,2904500,30
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
S,297889,2903400,30
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,297893,2904500,30
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,298049,2903900,30
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
S,298641,2903800,30
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
S,298985,2903700,30
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,300485,2903400,30
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
S,298985,2903700,30
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,300485,2903400,30
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
S,300485,2903400,30
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
S,300489,2904400,30
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,126513,2900000,100
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
S,300489,2904400,30
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
S,275985,2903500,500
B,147977,2840000,65
B,124113,2870000,59
S,112685,2980200,1
B,74473,2890000,73
S,110837,3000000,10
B,204713,2792800,256
Side,Order Ref. Number,Price,Volume
B,268557,2880000,150
B,234277,2901000,1000
B,292489,2898900,30
S,233313,2905000,100
B,202401,2855000,57
B,198865,2898000,2
B,178021,2885000,18
B,160773,2897800,27
B,171857,2894800,120
B,137181,2899000,70
B,133877,2885000,100
S,257465,2949200,14
B,190533,2865000,25
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
B,184737,2875000,22
S,11825,2999000,16
B,169433,2895000,12
B,131101,2893000,100
B,129557,2860000,61
S,300489,2904400,30
B,104861,2498200,100
B,278353,2901200,100
S,112669,2942300,1
B,136145,2850000,63
B,279993,2900000,2
